id,name,postal_code,commune,numero,voie,lieu_dit,code_insee,siret,activite,contact_url,site_internet,longitude,latitude,transport_station_presence,stationnement_presence,stationnement_pmr,stationnement_ext_presence,stationnement_ext_pmr,cheminement_ext_presence,cheminement_ext_terrain_stable,cheminement_ext_plain_pied,cheminement_ext_ascenseur,cheminement_ext_nombre_marches,cheminement_ext_reperage_marches,cheminement_ext_sens_marches,cheminement_ext_main_courante,cheminement_ext_rampe,cheminement_ext_pente_presence,cheminement_ext_pente_degre_difficulte,cheminement_ext_pente_longueur,cheminement_ext_devers,cheminement_ext_bande_guidage,cheminement_ext_retrecissement,entree_reperage,entree_vitree,entree_vitree_vitrophanie,entree_plain_pied,entree_ascenseur,entree_marches,entree_marches_reperage,entree_marches_main_courante,entree_marches_rampe,entree_marches_sens,entree_dispositif_appel,entree_dispositif_appel_type,entree_balise_sonore,entree_aide_humaine,entree_largeur_mini,entree_pmr,entree_porte_presence,entree_porte_manoeuvre,entree_porte_type,accueil_visibilite,accueil_personnels,accueil_audiodescription_presence,accueil_audiodescription,accueil_equipements_malentendants_presence,accueil_equipements_malentendants,accueil_cheminement_plain_pied,accueil_cheminement_ascenseur,accueil_cheminement_nombre_marches,accueil_cheminement_reperage_marches,accueil_cheminement_main_courante,accueil_cheminement_rampe,accueil_cheminement_sens_marches,accueil_chambre_nombre_accessibles,accueil_chambre_douche_plain_pied,accueil_chambre_douche_siege,accueil_chambre_douche_barre_appui,accueil_chambre_sanitaires_barre_appui,accueil_chambre_sanitaires_espace_usage,accueil_chambre_numero_visible,accueil_chambre_equipement_alerte,accueil_chambre_accompagnement,accueil_retrecissement,sanitaires_presence,sanitaires_adaptes,labels,labels_familles_handicap,registre_url,conformite,web_url
189a0f5f-9432-4418-9895-88325bb38ad0,2 Mèches avec Vous marseille,13009,Marseille,58,Boulevard du cabot,,13209,,Coiffure,,http://2mechesavecvous-marseille.com/,5.417762,43.25813,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/13-marseille/a/coiffure/erp/2-meches-avec-vous-marseille/
cb455ad5-5a7c-4ab0-9b1b-8f1afba62b52,2 Mèches ensemble,10000,Troyes,2,Rue Godard Pillaveinne,,10387,,Coiffure,,https://www.planity.com/deux-meches-ensemble-10000-troyes,4.092807,48.289196,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/10-troyes/a/coiffure/erp/2-meches-ensemble/
2b48b3a7-9ebc-4edf-9937-893f19c17d3b,2nd Street République Beaux-arts,59000,Lille,,Rue d'Inkermann,,59350,,Coiffure,,,3.059519,50.630222,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/59-lille/a/coiffure/erp/2nd-street-republique-beaux-arts/
a3f51e03-3b3c-4d63-a39b-326182bf31bd,2 Nuances,83500,La Seyne-sur-Mer,,Corniche Georges Pompidou,,83126,,Coiffure,,,5.895227,43.083056,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/83-la-seyne-sur-mer/a/coiffure/erp/2-nuances/
d2d37b0c-4ef7-4969-b5e3-5dbe9c56489e,²oph Perpignan Roussillon,66000,Perpignan,1,Rue de Puyvalador,,66136,,Agence immobilière,,,2.87857,42.706207,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/66-perpignan/a/agence-immobiliere/erp/2oph-perpignan-roussillon/
678a7aa0-200f-4cbb-aa3d-23d565d8cbb1,2 Optic,13003,Marseille,81,Avenue camille pelletan,,13203,,Opticien,,,5.373225,43.306059,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,,,,,https://acceslibre.beta.gouv.fr/app/13-marseille/a/optique/erp/2-optic/
4ca1c87d-fada-4697-8084-2aeb92369bf9,2 Pains D'Ailleurs,78780,Maurecourt,15,Rue du Marechal Leclerc,,78382,,Restauration rapide,,,2.063025,48.995654,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/78-maurecourt/a/restauration-rapide/erp/2-pains-dailleurs/
b2ffc737-0ba0-4771-bc6a-7ea882c07435,2 R Coiffure,88390,Uxegney,21bis,Rue d'Epinal,,88483,,Coiffure,,,6.380727,48.193039,,False,,True,,False,,,,,,,,,,,,,,,True,True,True,True,,,,,,,False,,False,False,85,False,True,battante,manuelle,True,,,,False,,True,,,,,,,,,,,,,,,,False,True,True,,,,,https://acceslibre.beta.gouv.fr/app/88-uxegney/a/coiffure/erp/2-r-coiffure/
80f70156-ed63-4ff3-bac8-d95baffe328a,2R Coiffure,88390,Uxegney,21,Rue d'Epinal,,88483,,Coiffure,,,6.379921,48.192986,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/88-uxegney/a/coiffure/erp/2r-coiffure/
39d01682-cb7a-4196-be56-104738b76ec1,2R IMMOBILIER,77400,Lagny-sur-Marne,92,Rue Saint-denis,,77243,,Agence immobilière,,http://www.2r-immobilier.fr/,2.709754,48.879245,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/77-lagny-sur-marne/a/agence-immobiliere/erp/2r-immobilier/
